title,price,address,kai,built_year
ジュール亀島,6.6万円,ジュール亀島 - 賃貸住宅サービス FC名古屋店(株)PITTARI賃貸が提供する賃貸物件情報,4階/6階建,2018年2月
第２あさひビル 202号室,5万円,第２あさひビル 202号室 - アパマンショップ小幡店日生産業(株)が提供する賃貸物件情報,2階/4階建,1000年1月
Sugarloaf　Park　浅間町,9.7万円,Sugarloaf　Park　浅間町 - ルームエージェント 名古屋駅前店リアルマークス(株)が提供する賃貸物件情報,4階/4階建,2023年2月
サンシャインマンション,7万円,サンシャインマンション - アパマンショップ大曽根店日生産業(株)が提供する賃貸物件情報,4階/6階建,1980年9月
サンシャインマンション,7万円,サンシャインマンション - アパマンショップ小幡店日生産業(株)が提供する賃貸物件情報,4階/6階建,1980年9月
サンシャインマンション 6B号室,7.5万円,サンシャインマンション 6B号室 - アパマンショップ大曽根店日生産業(株)が提供する賃貸物件情報,6階/6階建,1980年9月
サンシャインマンション,7.5万円,サンシャインマンション - アパマンショップ小幡店日生産業(株)が提供する賃貸物件情報,6階/6階建,1980年9月
サンシャインマンション,7.2万円,サンシャインマンション - アパマンショップ大曽根店日生産業(株)が提供する賃貸物件情報,5階/6階建,1980年9月
サンシャインマンション,7.2万円,サンシャインマンション - アパマンショップ小幡店日生産業(株)が提供する賃貸物件情報,5階/6階建,1980年9月
第一須賀ビル,3.5万円,第一須賀ビル - アパマンショップ大曽根店日生産業(株)が提供する賃貸物件情報,4階/4階建,1000年1月
第一須賀ビル,3.5万円,第一須賀ビル - アパマンショップ小幡店日生産業(株)が提供する賃貸物件情報,4階/4階建,1000年1月
第一須賀ビル,3.5万円,第一須賀ビル - アパマンショップ平針店(株)ワンダーライフが提供する賃貸物件情報,4階/4階建,1000年1月
アーバンリミックス,7.2万円,アーバンリミックス - アパマンショップ小幡店日生産業(株)が提供する賃貸物件情報,3階/3階建,2009年3月
アーバンリミックス,7.2万円,アーバンリミックス - アパマンショップ大曽根店日生産業(株)が提供する賃貸物件情報,3階/3階建,2009年3月
梅森坂マンション,6.2万円,梅森坂マンション - (株)ミニミニ星ヶ丘店が提供する賃貸物件情報,3階/3階建,1983年2月
梅森坂マンション,6.2万円,梅森坂マンション - (株)ミニミニ平針店が提供する賃貸物件情報,3階/3階建,1983年2月
梅森坂マンション,6.2万円,梅森坂マンション - (株)ミニミニ藤が丘店が提供する賃貸物件情報,3階/3階建,1983年2月
スカイヒルズ,4.9万円,スカイヒルズ - (株)ミニミニ藤が丘店が提供する賃貸物件情報,3階/3階建,1989年3月
梅森坂マンション 302号室,6.2万円,梅森坂マンション 302号室 - (株)ニッショー本郷支店が提供する賃貸物件情報,3階/3階建,1983年2月
梅森坂マンション 302号室,6.2万円,梅森坂マンション 302号室 - (株)ニッショー日進支店が提供する賃貸物件情報,3階/3階建,1983年2月
セントラルハイツ,5.2万円,セントラルハイツ - アパマンショップ高畑店(株)ワンダーライフが提供する賃貸物件情報,1階/3階建,1985年3月
セントラルハイツ,5.3万円,セントラルハイツ - アパマンショップ高畑店(株)ワンダーライフが提供する賃貸物件情報,2階/3階建,1985年3月
セントラルハイツ,5.3万円,セントラルハイツ - (株)ミニミニ港店が提供する賃貸物件情報,2階/3階建,1985年3月
セントラルハイツ,5.3万円,セントラルハイツ - (株)ミニミニ高畑店が提供する賃貸物件情報,2階/3階建,1985年3月
セントラルハイツ,5.2万円,セントラルハイツ - 部屋セレブ高畑店(株)S-pointが提供する賃貸物件情報,1階/3階建,1985年3月
セントラルハイツ,5.3万円,セントラルハイツ - 部屋セレブ高畑店(株)S-pointが提供する賃貸物件情報,2階/3階建,1985年3月
楠団地 1005号室,4.2万円,楠団地 1005号室 - (株)ニッショー黒川支店が提供する賃貸物件情報,10階/11階建,1975年11月
Ｌａ．Ｐｒｉｍａｖｅｒａ（ラ．プリマヴェーラ）,4.5万円,Ｌａ．Ｐｒｉｍａｖｅｒａ（ラ．プリマヴェーラ） - (株)ミニミニ一社店が提供する賃貸物件情報,4階/4階建,1974年12月
Ｌａ．Ｐｒｉｍａｖｅｒａ（ラ．プリマヴェーラ）,4.5万円,Ｌａ．Ｐｒｉｍａｖｅｒａ（ラ．プリマヴェーラ） - (株)ミニミニ本山店が提供する賃貸物件情報,4階/4階建,1974年12月
Ｌａ．Ｐｒｉｍａｖｅｒａ（ラ．プリマヴェーラ）,4.5万円,Ｌａ．Ｐｒｉｍａｖｅｒａ（ラ．プリマヴェーラ） - (株)ミニミニ星ヶ丘店が提供する賃貸物件情報,4階/4階建,1974年12月
