domain,title,page,url,file_name,publisher
finance,2021（令和3）年度 生命保険に関する全国実態調査,17,https://www.jili.or.jp/files/research/zenkokujittai/pdf/r3/i-xvii.pdf,i-xvii.pdf,公益財団法人生命保険文化センター
finance,2023年 保険モニタリングレポート【概要】,11,https://www.fsa.go.jp/news/r4/hoken/20230630-2/01.pdf,01.pdf,金融庁
finance,我が国における気候関連リスクによる住宅ローン・ポートフォリオへの影響分析,31,https://www.fsa.go.jp/frtc/seika/discussion/2023/DP2023-2.pdf,DP2023-2.pdf,金融庁
finance,2023事務年度 金融行政方針,30,https://www.fsa.go.jp/news/r5/20230829/230829_main.pdf,230829_main.pdf,金融庁
finance,２０２３年度株式分布状況調査の調査結果について,19,https://www.jpx.co.jp/markets/statistics-equities/examination/mklp77000000aiyf-att/j-bunpu2023.pdf,j-bunpu2023.pdf,株式会社日本取引所グループ
finance,法人企業景気予測調査（令和６年４～６月期調査）結果の概要,10,https://www.mof.go.jp/pri/reference/bos/results/1c202401.pdf,1c202401.pdf,財務省
finance,都道府県別預貯金残高と業態別金融機関店舗数の変遷,17,https://www.mof.go.jp/pri/publication/research_paper_staff_report/staff24.pdf,staff24.pdf,財務省
finance,手形・小切手機能の電子化状況に関する調査報告書（2022 年度）,29,https://www.zenginkyo.or.jp/fileadmin/res/news/news350331_1.pdf,news350331_1.pdf,一般社団法人 全国銀行協会
finance,少子高齢社会における金融仲介サービスの役割,33,https://www.zenginkyo.or.jp/fileadmin/res/news/news240340_1.pdf,news240340_1.pdf,一般社団法人 全国銀行協会
finance,財政投融資リポート 2022,58,https://www.mof.go.jp/policy/filp/publication/filp_report/zaito2022/FILP_Report2022.pdf,FILP_Report2022.pdf,財務省
finance,マネロン・テロ資金供与・拡散金融対策に関する行動計画,4,https://www.mof.go.jp/policy/international_policy/councils/aml_cft_policy/20210830_2.pdf,20210830_2.pdf,財務省
finance,事務局説明資料,32,https://www.fsa.go.jp/singi/digital/siryou/20230421/jimukyoku.pdf,jimukyoku.pdf,金融庁
finance,割賦販売法（後払分野）の概要資料,88,https://www.meti.go.jp/policy/economy/consumer/credit/2301atobaraigaiyousiryou.pdf,2301atobaraigaiyousiryou.pdf,経済産業省
it,IPAテクニカルウォッチ「AI利用時のセキュリティ脅威・リスク調査報告書」,17,https://www.ipa.go.jp/security/reports/technicalwatch/eid2eo00000022sn-att/report.pdf,report.pdf,独立行政法人情報処理推進機構
it,脆弱性対策情報データベースJVN iPedia に関する活動報告レポート [2024 年第 2 四半期（4 月～6 月）],11,https://www.ipa.go.jp/security/reports/vuln/jvn/eid2eo00000088ke-att/JVNiPedia2024q2.pdf,JVNiPedia2024q2.pdf,独立行政法人情報処理推進機構
it,データの共通理解推進ガイド（本編）,42,https://www.ipa.go.jp/digital/data/ug65p90000001ls2-att/000096537.pdf,000096537.pdf,独立行政法人情報処理推進機構
it,令和 5 年 情報通信に関する現状報告の概要,12,https://www.soumu.go.jp/johotsusintokei/whitepaper/ja/r05/pdf/01point.pdf,01point.pdf,総務省
it,情報通信エンジニアスキルアップガイドライン（２０２３年度版）,44,https://www.dekyo.or.jp/engineer/data/guideline/skillup_guideline.pdf,skillup_guideline.pdf,一般財団法人 日本データ通信協会
it,アジャイル開発実践ガイドブック,37,https://www.digital.go.jp/assets/contents/node/basic_page/field_ref_resources/e2a06143-ed29-4f1d-9c31-0f06fca67afc/9fc931f7/20220422_resources_standard_guidelines_guidebook_01.pdf,20220422_resources_standard_guidelines_guidebook_01.pdf,デジタル庁
it,GIGAスクール構想の下での校務DXについて,32,https://www.mext.go.jp/content/20230308-mxt_jogai01-000027984_001.pdf,20230308-mxt_jogai01-000027984_001.pdf,文部科学省
